Comunidad Autónoma,Center,Measure,Energy Saved,Money Saved,Investment,Pay back period
Madrid,Asepeyo Legazpi,Sistema de Gestión Energética,3263,1081,1695,1.6
Madrid,Asepeyo Móstoles (NUEVO CA),Instalación de temporizador digital en termo eléctrico,562,194,120,1
Madrid,Asepeyo Móstoles (NUEVO CA),Sistema de Gestión Energética,2096,694,1500,2.16
Madrid,Asepeyo Móstoles (NUEVO CA),Promover la cultura energética,2795,926,0,0
Madrid,Asepeyo Móstoles (NUEVO CA),Regulación de la temperatura de consigna,1812,627,0,0
Madrid,Asepeyo Pinto,Sistema de Gestión Energética,4659,1574,3000,1.9
Madrid,Asepeyo Pinto,Promover la cultura energética,1703,575,0,0
Madrid,Asepeyo Pinto,Instalación Fotovoltaica,15311,5173,9000,1.7
Madrid,Asepeyo Pinto,Mejora en el control de la iluminación,1336,451,2143,4.7
Madrid,Asepeyo Pinto,Regulación de la temperatura de consigna,23807,8044,0,0
Madrid,Asepeyo Torrejón de Ardoz,Sistema de Gestión Energética,1755,572,1695,3
Madrid,Asepeyo Torrejón de Ardoz,Sustitución luminarias a LED,1715,559,1044,1.9
Madrid,Asepeyo Torrejón de Ardoz,Instalación de temporizador digital en termo eléctrico,1123,366,60,0.2
Madrid,Asepeyo Torrejón de Ardoz,Regulación de la temperatura de consigna,2370,772,0,0
Madrid,Asepeyo Torrejón de Ardoz,Reducción del consumo remanente,2108,687,239,0.3
Madrid,Asepeyo Tres Cantos,Sistema de Gestión Energética,2318,764,1500,2
Madrid,Asepeyo Tres Cantos,Promover la cultura energética,1545,509,0,0
Madrid,Asepeyo Tres Cantos,Regulación de la temperatura de consigna,2852,940,0,0
Madrid,Asepeyo Tres Cantos,Instalación Fotovoltaica,28977,9554,17100,1.8
Madrid,Asepeyo Tres Cantos,Reducción del consumo remanente,2716,895,250,0.3
Madrid,Asepeyo Valdemoro,Promover la cultura energética,1031,360,0,0
Madrid,Asepeyo Valdemoro,Sistema de Gestión Energética,1546,540,1295,2.4
Madrid,Asepeyo Valdemoro,Regulación de la temperatura de consigna,3805,1328,0,0
Madrid,Asepeyo Valdemoro,Reducción del consumo remanente,3700,1291,150,0
Murcia,Asepeyo Cartagena,Promover la cultura energética,446,148,0,0
Murcia,Asepeyo Cartagena,Instalación cortina de aire en puerta de entrada,995,331,1200,3.6
Murcia,Asepeyo Cartagena,Sistema de Gestión Energética,669,223,1295,5.8
Murcia,Asepeyo Cartagena,Instalación de temporizador digital en baño de parafina,969,322,20,0.1
Murcia,Asepeyo Cartagena,Mejora en el control de la iluminación,533,177,336,1.9
Murcia,Asepeyo Lorca,Promover la cultura energética,552,188,0,0
Murcia,Asepeyo Lorca,Reducción del consumo remanente,2908,992,90,0.1
Murcia,Asepeyo Lorca,Sistema de Gestión Energética,828,278,1295,4.7
Murcia,Asepeyo Lorca,Regulación de la temperatura de consigna,3636,1240,0,0
Murcia,Asepeyo Lorca,Instalación de temporizador digital en termo eléctrico,1238,422,60,0.1
Murcia,Asepeyo Murcia,Promover la cultura energética,2234,751,0,0
Murcia,Asepeyo Murcia,Instalación cortina de aire en puerta de entrada,3145,1056,2400,2.3
Murcia,Asepeyo Murcia,Sistema de Gestión Energética,3352,1126,2495,2.2
Murcia,Asepeyo Murcia,Eliminación de la energía reactiva,0,448,1491,3.3
Murcia,Asepeyo Murcia,Mejora en el control de la iluminación,1218,409,540,1.3
